date,state,cases_total,cases_total_per100k,cases_avg_week,cases_avg_week_per100k,cases_week_growth,deaths_total,deaths_total_per100k,deaths_avg_week,deaths_avg_week_per100k,deaths_week_growth
2020-02-09,Massachusetts,1,0.015,0,0,NA,0,0,0,0,NA
2020-02-09,Washington,1,0.013,0,0,0,0,0,0,0,0
2020-02-09,Wisconsin,1,0.017,NA,NA,NA,0,0,NA,NA,NA
2020-02-10,Arizona,1,0.014,0,0,0,0,0,0,0,0
2020-02-10,California,7,0.018,0.14285714285714285,0,-0.273,0,0,0,0,0
2020-02-10,Illinois,2,0.016,0,0,-0.125,0,0,0,0,0
2020-02-10,Massachusetts,1,0.015,0,0,NA,0,0,0,0,NA
2020-02-10,Washington,1,0.013,0,0,0,0,0,0,0,0
2020-02-10,Wisconsin,1,0.017,NA,NA,NA,0,0,NA,NA,NA
2020-02-11,Arizona,1,0.014,0,0,0,0,0,0,0,0
2020-02-11,California,7,0.018,0.14285714285714285,0,-0.273,0,0,0,0,0
2020-02-11,Illinois,2,0.016,0,0,-0.125,0,0,0,0,0
2020-02-11,Massachusetts,1,0.015,0,0,NA,0,0,0,0,NA
2020-02-11,Washington,1,0.013,0,0,0,0,0,0,0,0
2020-02-11,Wisconsin,1,0.017,NA,NA,NA,0,0,NA,NA,NA
2020-02-12,Arizona,1,0.014,0,0,0,0,0,0,0,0
2020-02-12,California,7,0.018,0.14285714285714285,0,-0.273,0,0,0,0,0
2020-02-12,Illinois,2,0.016,0,0,-0.125,0,0,0,0,0
2020-02-12,Massachusetts,1,0.015,0,0,NA,0,0,0,0,NA
2020-02-12,Texas,1,0.003,NA,NA,NA,0,0,NA,NA,NA
2020-02-12,Washington,1,0.013,0,0,0,0,0,0,0,0
2020-02-12,Wisconsin,1,0.017,0,0,NA,0,0,0,0,NA
2020-02-13,Arizona,1,0.014,0,0,0,0,0,0,0,0
2020-02-13,California,7,0.018,0.14285714285714285,0,-0.273,0,0,0,0,0
2020-02-13,Illinois,2,0.016,0,0,0,0,0,0,0,0
2020-02-13,Massachusetts,1,0.015,0,0,NA,0,0,0,0,NA
2020-02-13,Texas,2,0.007,NA,NA,NA,0,0,NA,NA,NA
2020-02-13,Washington,1,0.013,0,0,0,0,0,0,0,0
2020-02-13,Wisconsin,1,0.017,0,0,NA,0,0,0,0,NA
2020-02-14,Arizona,1,0.014,0,0,0,0,0,0,0,0
2020-02-14,California,7,0.018,0.14285714285714285,0,-0.2,0,0,0,0,0
2020-02-14,Illinois,2,0.016,0,0,0,0,0,0,0,0
